seq,time,date.time,temp,light,oxy,oxy.mod,sat,,
182,1530482700,22:05:00,10.661677,3975.7962,9.069659,9.116399,92.956876,,
183,1530483000,22:10:00,10.643632,3009.3873,9.061198,9.108621,92.830923,,
184,1530483300,22:15:00,10.652655,1987.8981,9.058059,9.101312,92.818375,,
185,1530483600,22:20:00,10.661677,1892.7594,9.040214,9.094698,92.655088,,
186,1530483900,22:25:00,10.670698,2213.2266,9.059151,9.088815,92.868788,,
187,1530484200,22:30:00,10.679718,2268.3069,9.048657,9.083486,92.780798,,
188,1530484500,22:35:00,10.679718,7085.3295,9.033957,9.080352,92.630071,,
189,1530484800,22:40:00,10.670698,4040.8911,9.051789,9.07693,92.793318,,
190,1530485100,22:45:00,10.688736,1086.5841,9.045526,9.072566,92.768271,,
191,1530485400,22:50:00,10.670698,976.4235,9.037085,9.069225,92.642582,,
192,1530485700,22:55:00,10.688736,1667.4309,9.052883,9.066059,92.843722,,
193,1530486000,23:00:00,10.670698,1316.9199,9.022407,9.063683,92.492112,,
194,1530486300,23:05:00,10.652655,4171.0809,9.050699,9.062985,92.742957,,
195,1530486600,23:10:00,10.625581,1667.4309,9.052751,9.062324,92.705178,,
196,1530486900,23:15:00,10.616554,956.3943,9.063254,9.06177,92.793107,,
197,1530487200,23:20:00,10.598496,1622.3652,9.047458,9.061975,92.592188,,
198,1530487500,23:25:00,10.589465,2633.8398,9.050598,9.062706,92.604717,,
199,1530487800,23:30:00,10.580432,1241.8104,9.061101,9.06315,92.692551,,
200,1530488100,23:35:00,10.589465,971.4162,9.050598,9.063211,92.604717,,
201,1530488400,23:40:00,10.589465,1687.4601,9.043247,9.063486,92.529503,,
202,1530488700,23:45:00,10.580432,1161.6936,9.03904,9.063802,92.466873,,
203,1530489000,23:50:00,10.580432,766.1169,9.05374,9.063954,92.61725,,
204,1530489300,23:55:00,10.580432,781.1388,9.024366,9.064091,92.316762,,
205,1530489600,0:00:00,10.580432,2243.2704,9.009718,9.064662,92.166917,,
206,1530489900,0:05:00,10.580432,801.168,9.031699,9.064711,92.391777,,
207,1530490200,0:10:00,10.571399,1266.8469,9.042179,9.065138,92.479394,,
208,1530490500,0:15:00,10.562364,8171.9136,9.030636,9.067886,92.341769,,
209,1530490800,0:20:00,10.553328,1276.8615,9.02644,9.068378,92.279303,,
210,1530491100,0:25:00,10.535252,756.1023,9.032718,9.069124,92.304332,,
211,1530491400,0:30:00,10.508128,645.9417,9.034809,9.070457,92.266942,,
212,1530491700,0:35:00,10.490039,625.9125,9.048447,9.072089,92.36698,,
213,1530492000,0:40:00,10.480993,696.0147,9.04425,9.073769,92.304525,,
214,1530492300,0:45:00,10.462896,590.8614,9.050555,9.075675,92.329614,,
215,1530492600,0:50:00,10.444794,575.8395,9.049516,9.077807,92.279753,,
216,1530492900,0:55:00,10.408575,560.8176,9.047453,9.080614,92.180192,,
217,1530493200,1:00:00,10.381397,555.8103,9.056939,9.083773,92.217866,,
218,1530493500,1:05:00,10.354207,545.7957,9.059086,9.087236,92.180723,,
219,1530493800,1:10:00,10.317936,560.8176,9.079142,9.091212,92.305933,,
220,1530494100,1:15:00,10.281643,340.4964,9.091874,9.095561,92.356366,,
221,1530494400,1:20:00,10.24533,260.3796,9.097252,9.10028,92.331912,,
222,1530494700,1:25:00,10.208995,335.4891,9.095267,9.105369,92.232668,,
223,1530495000,1:30:00,10.18173,450.657,9.09748,9.110554,92.195754,,
224,1530495300,1:35:00,10.145357,455.6643,9.095526,9.116028,92.096799,,
225,1530495600,1:40:00,10.099862,385.5621,9.118958,9.121975,92.234827,,
226,1530495900,1:45:00,10.072548,380.5548,9.128613,9.127872,92.272857,,
227,1530496200,1:50:00,10.036111,485.7081,9.134105,9.134002,92.248795,,
228,1530496500,1:55:00,10.008769,400.584,9.166071,9.140036,92.511722,,
229,1530496800,2:00:00,9.981414,480.7008,9.138673,9.146039,92.175449,,
230,1530497100,2:05:00,9.954047,345.5037,9.155807,9.15195,92.288391,,
231,1530497400,2:10:00,9.917539,275.4015,9.146526,9.158043,92.115059,,
232,1530497700,2:15:00,9.890143,270.3942,9.163693,9.164075,92.22798,,
233,1530498000,2:20:00,9.862734,220.3212,9.173461,9.170042,92.266238,,
234,1530498300,2:25:00,9.82617,155.2263,9.171636,9.176189,92.167804,,
235,1530498600,2:30:00,9.798732,145.2117,9.188877,9.182271,92.28087,,
236,1530498900,2:35:00,9.771282,120.1752,9.183805,9.188292,92.169758,,
237,1530499200,2:40:00,9.734661,95.1387,9.196913,9.194505,92.220933,,
238,1530499500,2:45:00,9.707181,100.146,9.19931,9.200651,92.184649,,
239,1530499800,2:50:00,9.670521,85.1241,9.212467,9.206979,92.235924,,
240,1530500100,2:55:00,9.643011,85.1241,9.207428,9.213228,92.125059,,
241,1530500400,3:00:00,9.615488,70.1022,9.224791,9.219404,92.238238,,
242,1530500700,3:05:00,9.587952,60.0876,9.219766,9.22552,92.127461,,
243,1530501000,3:10:00,9.551217,55.0803,9.218063,9.23183,92.029721,,
244,1530501300,3:15:00,9.523651,50.073,9.227998,9.238067,92.06828,,
245,1530501600,3:20:00,9.496072,40.0584,9.230477,9.24424,92.032351,,
246,1530501900,3:25:00,9.477678,25.0365,9.237119,9.250111,92.058092,,
247,1530502200,3:30:00,9.459279,25.0365,9.23629,9.255726,92.009345,,
248,1530502500,3:35:00,9.440874,20.0292,9.227994,9.261115,91.886245,,
249,1530502800,3:40:00,9.422463,25.0365,9.257097,9.266311,92.13544,,
250,1530503100,3:45:00,9.404046,20.0292,9.256279,9.271337,92.086699,,
251,1530503400,3:50:00,9.385623,10.0146,9.277967,9.276212,92.261761,,
252,1530503700,3:55:00,9.367194,15.0219,9.269649,9.280963,92.138371,,
253,1530504000,4:00:00,9.348759,5.0073,9.276347,9.2856,92.164236,,
254,1530504300,4:05:00,9.33954,5.0073,9.257198,9.289895,91.953667,,
255,1530504600,4:10:00,9.321096,5.0073,9.263893,9.294138,91.979499,,
256,1530504900,4:15:00,9.302646,5.0073,9.278102,9.298337,92.079836,,
257,1530505200,4:20:00,9.284191,0,9.262311,9.302497,91.882441,,
258,1530505500,4:25:00,9.274961,5.0073,9.295701,9.306378,92.193254,,
259,1530505800,4:30:00,9.265729,0,9.261528,9.310014,91.833988,,
260,1530506100,4:35:00,9.247262,0,9.298283,9.313684,92.157583,,
261,1530506400,4:40:00,9.238026,0,9.286616,9.317137,92.021544,,
262,1530506700,4:45:00,9.219549,0,9.300876,9.320649,92.121967,,
263,1530507000,4:50:00,9.201067,0,9.285069,9.324212,91.924587,,
264,1530507300,4:55:00,9.191823,0,9.303479,9.327573,92.086397,,
265,1530507600,5:00:00,9.173331,0,9.302712,9.331005,92.037896,,
266,1530507900,5:05:00,9.164083,0,9.306093,9.334252,92.050882,,
267,1530508200,5:10:00,9.145583,0,9.320398,9.337585,92.151381,,
268,1530508500,5:15:00,9.13633,0,9.308719,9.340747,92.015432,,
269,1530508800,5:20:00,9.127076,0,9.31964,9.343758,92.102882,,
270,1530509100,5:25:00,9.108563,0,9.318888,9.346886,92.05444,,
271,1530509400,5:30:00,9.099304,0,9.314746,9.349869,91.993024,,
272,1530509700,5:35:00,9.090044,0,9.333223,9.352726,92.154963,,
273,1530510000,5:40:00,9.080782,0,9.321536,9.355471,92.019048,,
274,1530510300,5:45:00,9.052987,0,9.331737,9.358617,92.058112,,
275,1530510600,5:50:00,9.043719,0,9.342694,9.361616,92.145629,,
276,1530510900,5:55:00,9.025179,0,9.326865,9.364735,91.948426,,
277,1530511200,6:00:00,9.015906,0,9.330272,9.367713,91.96146,,
278,1530511500,6:05:00,9.006632,0,9.348785,9.370565,92.123333,,
279,1530511800,6:10:00,8.988079,0,9.35562,9.373558,92.149456,,
280,1530512100,6:15:00,8.9788,0,9.328827,9.376424,91.864995,,
281,1530512400,6:20:00,8.96952,0,9.347338,9.379181,92.026679,,
282,1530512700,6:25:00,8.960238,0,9.350758,9.381842,92.039738,,
283,1530513000,6:30:00,8.94167,0,9.357604,9.384668,92.065864,,
284,1530513300,6:35:00,8.923095,0,9.356894,9.387639,92.017612,,
285,1530513600,6:40:00,8.913806,0,9.337656,9.390487,91.807829,,
286,1530513900,6:45:00,8.895222,0,9.344505,9.393479,91.833943,,
287,1530514200,6:50:00,8.885927,0,9.363052,9.396347,91.995557,,
288,1530514500,6:55:00,8.867334,0,9.369925,9.399356,92.021737,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
